ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
500 Internal Server Error whilst trying to upload an asset. Please try again.,500 Interner Server Fehler beim Hochladen. Bitte nocheinmal probieren,
Add Address,Adresse hinzufügen,
Add New Address,neue Adresse hinzufügen,
Add Payment Method,Zahlungsmethode hinzufügen,
Add to Basket,In den Warenkord legen,
Add,hinzufügen,
Address Book,Adressbuch,
Address Search,Adressensuche,
Are you sure?,Bist Du sicher?,
Back,Zurück,
Basket is empty,Der Korb ist leer,
Cancel,Stornieren,
Card Number,Kartennummer,
Checking Code,Überprüfung Gutscheincode,
Checkout for Free!,Kostenlos Checkout,
Checkout,Check out,
Choose Address,Adresse auswählen,
Choose Country,Land auswählen,
Choose Delivery Address,Lieferadresse auswählen,
City,Stadt,
Clearing Code,Freischalt Gutscheincode,
Continue Shopping,Weiter einkaufen,
Country,Land,
County,Land,
Delivery Address,Lieferadresse,
Delivery Details,Lieferbedingungen,
Description,Beschreibung,
Done,Ausgeführt,
Edit Address,Adresse bearbeiten,
Edit,Bearbeiten,
Email,E-Mail,
Enter Address Manually,Adresse manuell eintragen,
Enter a valid CVV number,gültige CVV Nummer eintragen,
Enter a valid expiry date,gültiges Ablaufdatum eintragen,
Failed to get the price of the order. Please try again.,Preisermittlung der Order fehlgeschlagen.Bitte erneut versuchen,
Failed to store card details with PayPal. Please try again.,Speicherung der Kreditkartendaten fehlgeschlagen. Bitte erneut versuchen,
Failed to synchronize product templates. Please try again.,Synchronisation der Produkt-Templates fehlgeschlagen Bitte erneut versuchen,
Failed to validate the order. Please try again.,Orderbestätigung fehlgeschlagen. Bitte erneut versuchen,
First Name,Vorname,
Image Is Too Small,Bild ist zu klein,
Invalid Email Address,Ungültige E-Mail Adresse,
Invalid Phone Number,Ungültige Telefonnummer,
Last Name,Familienname,
Line 1,Leitung 1,
Line 2,Leitung 1,
Log out,Ausloggen,
Missing Delivery Address,Fehlende Lieferadresse,
New Payment,Neue Zahlung,
Next,Nächster,
No,Nein,
Order Id,Bestell ID,
Order Summary,Bestellungs-Zusammenfassung,
Our store is currently undergoing maintence so no products are available for purchase at this time. Please try again a little later.,Zur Zeit werden Service arbeiten ausgeführt.Daher ist der Verkauf vorübergehend eingestellt. Bitte versuchen Sie es später nocheinmal.,
Pay %@,Bezahlen %@,
Pay with Credit Card (TEST),Mit Karte bezahlen (TEST),
Pay with Credit Card,Mit Karte bezahlen,
Pay with card ending %@,Bezahlen mit Karten-Endnummer %@,
Pay with new card,mit neuer Karte bezahlen,
Payment (TEST),Zahlung (Test),
Payment,Zahlung,
Phone,Telefon,
Please choose an address to have your order shipped to,Bitte Lieferadresse wählen,
Please enter a card expiry date in the future,Bitte ein Kartenablaufdatum in der Zukunft eingeben,
Please enter a valid card number,Bitte gültige Kartennummer eingeben,
Please enter a valid email address,Bitte eine gültige E-Mail Sdresse eingeben,
Please enter a valid phone number,Bitte gültige Telefonnummer eingeben,
Please zoom out or pick a higher quality image,"Bitte zoomen, oder ein Bild mit höherer Qualität aussuchen.",
Postcode,Postleitzahl,
Price,Preis,
Print It Anyway,Auf jeden Fall drucken,
Print order submission failed with a %lu HTTP response status code. Please try again.,Druckordereingabe fehlgeschlagen mit %lu  HTTP Staus Code,
Processing,Aufbereitung,
Promo Code,Gutscheincode,
Required by the postal service in case there are any issues during delivery.,"Für die Postzustellung erforderlich, um Probleme bei der Zustellung zu vermeiden.",
Retry,Bitte erneut versuchen,
Save,sichern,
"Search by postcode, street or address","Suche nach Postleitzahl, Straße oder Adresse",
"Search by street, address or ZIP code",Suche nach Straße Adresse oder Postleitzahl,
Search for Address,Nach Adresse suchen,
Shipping,Versand,
State,Status,
Store Maintenance,Wartungsarbeiten im Store,
This is the 3-4 digit verification number/security code normally found on the back of your card,Dies ist die 3-4- stellige Prüfnummer / Sicherheitscode normalerweise auf der Rückseite Ihrer Karte gefunden,
Total,Summe,
Uploading Images \n%lu / %lu,Bilder hochladen \n%lu / %lu,
We'll send you confirmation and order updates.,Wir werden Dir eine Orderbestätigung und Bestell-Aktualisierungen zusenden,
Yes,Ja,
Your 15-16 digit card number,Ihre 15-16- stellige Kartennummer,
Your card expiry date,Ihre Karte Ablaufdatum,
Your payment was not approved (transaction state: %@). Please try again.,Deine Zahlung ist nicht anerkannt worden (Vorgang: %@) Bitte versuche es noch einmal.,
ZIP Code,Postleitzahl,
basket.Edit,Bearbeiten,
